	3586.98	20889028011381010156	156		广州地铁单程票 1张	4.00	99070885171101		d875c5fefcd9416cbfcde2732de35b7601	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004100008159155	0.00	转账	2016-01-10 07:54:09
	3590.98	20888020901751300156	156		广州地铁单程票 1张	4.00	99027294223131		31c126ec3fb042f69bd66d473c3b36c030	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004130080066277	0.00	转账	2016-01-10 07:55:55
	3602.98	20889124022448620156	156		广州地铁单程票 2张	12.00	99531798010861		7df76ab1c40145fd84cc858c71033ccb62	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011021001004860080842142	0.00	转账	2016-01-10 08:00:44
	3605.98	20888026050559800156	156		广州地铁单程票 1张	3.00	99441916178981		b53346987ccc4a56a596a4901513b83280	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004980078208862	0.00	转账	2016-01-10 08:04:15
	3615.98	20884021304681610156	156		广州地铁单程票 2张	10.00	98899709700161		0ef5f241f15c40c0a10b71c8409bd92161	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011021001004160084585358	0.00	转账	2016-01-10 08:05:24
	3625.98	20885125283076520156	156		广州地铁单程票 2张	10.00	99215523472651		e4263733a6284f64a38da09282b704b052	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011021001004650095357895	0.00	转账	2016-01-10 08:10:49
	3628.98	20888027054446310156	156		广州地铁单程票 1张	3.00	98940979055631		e11f8a3230cd461590f5df9f26be4e8d31	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004630091194623	0.00	转账	2016-01-10 08:12:05
	3632.98	20882023079574180156	156		广州地铁单程票 1张	4.00	99475541482411		3e0e697002324c269b57db0e1393f92118	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004410076797898	0.00	转账	2016-01-10 08:15:24
	3636.98	20888020103715740156	156		广州地铁单程票 1张	4.00	99068483059571		4709c46d845f44c594bd86e38749819f74	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004570080709648	0.00	转账	2016-01-10 08:23:22
	3639.98	20881028890539520156	156		广州地铁单程票 1张	3.00	99056590140951		e72d6cb732494f1597cc6dd5b2937cb752	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004950078496730	0.00	转账	2016-01-10 08:25:21
	3645.98	20883123577671510156	156		广州地铁单程票 1张	6.00	99013229981151		955768d6d3de4aa18f32006943efb51651	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004150070097317	0.00	转账	2016-01-10 08:30:13
	3659.98	20880020094974940156	156		广州地铁单程票 2张	14.00	99175093005491		5ce16fa1834d43fcb68596621382377994	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	14.00	2016011021001004490071632121	0.00	转账	2016-01-10 08:36:53
	3661.98	20888024876679120156	156		广州地铁单程票 1张	2.00	99034719699911		ceaeda2aaa7b469a926813359582401112	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004910073103559	0.00	转账	2016-01-10 08:52:21
	3667.98	20880026176099350156	156		广州地铁单程票 2张	6.00	99025553886931		fc6febfdb2ed43009d29eaa0388ff40535	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004930085358172	0.00	转账	2016-01-10 08:53:06
	3676.98	20881025954438470156	156		广州地铁单程票 3张	9.00	99112664276841		fa82019ea14341b3bf1e3c25552974cc47	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	9.00	2016011021001004840090682038	0.00	转账	2016-01-10 08:53:27
	3686.98	20888128544240570156	156		广州地铁单程票 2张	10.00	98923954915051		c8681bd9ca4745c5a6078b56f01da53857	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011021001004050076155815	0.00	转账	2016-01-10 08:53:37
	3689.98	20885028353127710156	156		广州地铁单程票 1张	3.00	98935944898771		0a824dd3c2934dce90f3c69307cc672d71	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004770091897426	0.00	转账	2016-01-10 09:00:04
	3701.98	20883127499824410156	156		广州地铁单程票 2张	12.00	99029714320441		ae4bd56e64af476cbbeef9a406b6e98b41	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011021001004440063285477	0.00	转账	2016-01-10 09:08:06
	3703.98	20880025126826600156	156		广州地铁单程票 1张	2.00	99017762240661		f3e2d4e7a3114566bae5f06b1272eeb960	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004660002874717	0.00	转账	2016-01-10 09:09:42
	3709.98	20882028433694270156	156		广州地铁单程票 1张	6.00	98925470785421		09974aec3c23431fb1eb5fa8a4c45a9a27	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004420072124511	0.00	转账	2016-01-10 09:13:52
	3713.98	20888120572921810156	156		广州地铁单程票 2张	4.00	98997797326181		2557b3b01239463d9b20697b944dd7b881	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004180095128097	0.00	转账	2016-01-10 09:14:50
	3717.98	20880228929909190156	156		广州地铁单程票 1张	4.00	99034840569911		50c7d7033f7d4235ac619ed08f39567b19	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004910078541138	0.00	转账	2016-01-10 09:15:02
	3727.98	20883022193431710156	156		广州地铁单程票 2张	10.00	99450970233171		796b3c7a2bb049d19fcf065d3b61d7c971	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011021001004170093053249	0.00	转账	2016-01-10 09:16:27
	3730.98	20889027782806850156	156		广州地铁单程票 1张	3.00	99149517476681		3efb19a6773b4a5ca31c7696049722d485	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004680088449982	0.00	转账	2016-01-10 09:17:56
	3735.98	20881028087420330156	156		广州地铁单程票 1张	5.00	99377081547031		489dbb0536a5498594606041d4b6cce433	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004030036221193	0.00	转账	2016-01-10 09:18:01
	3747.98	20888021591614430156	156		广州地铁单程票 2张	12.00	99029810638441		0d4fdeff5a8b44ff8152d2a0f6b9ad5843	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011021001004440063200623	0.00	转账	2016-01-10 09:24:10
	3755.98	20887025077798510156	156		广州地铁单程票 1张	8.00	98941906866851		05f3185de72f4c138f1dc1c166fdfe7e51	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	8.00	2016011021001004850084778319	0.00	转账	2016-01-10 09:26:13
	3759.98	20885124604971030156	156		广州地铁单程票 1张	4.00	99071283329101		d90ac4bb2ee24063a2097f7c87f2e08203	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004100002683019	0.00	转账	2016-01-10 09:30:05
	3764.98	20880021098967800156	156		广州地铁单程票 1张	5.00	98877943711781		6e144ad9eca84fbf831a740b0144394b80	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004780097344377	0.00	转账	2016-01-10 09:34:17
	3768.98	20887024812408730156	156		广州地铁单程票 1张	4.00	98995669614871		ae9cd44db1664be697415075bdd64afb73	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004870070605081	0.00	转账	2016-01-10 09:35:50
	3775.98	20884126409010230156	156		广州地铁单程票 1张	7.00	98988491707021		de22bda665a24509982cce25b17f81ed23	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011021001004020078506844	0.00	转账	2016-01-10 09:37:52
	3787.98	20880028357346640156	156		广州地铁单程票 2张	12.00	99017947078661		7074dfb9c01b4548bea630dfd48df30464	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011021001004660002361740	0.00	转账	2016-01-10 09:39:59
	3790.98	20881121983277540156	156		广州地铁单程票 1张	3.00	99209268164751		eba1e3d7da854855b2d239b93d2bbc2e54	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004750097787040	0.00	转账	2016-01-10 09:47:13
	3795.98	20887025242092030156	156		广州地铁单程票 1张	5.00	98898518856201		6abb2e4884834ac4948853f79d1cef4b03	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004200090559313	0.00	转账	2016-01-10 09:51:24
	3805.98	20880022666324540156	156		广州地铁单程票 2张	10.00	99128711834451		ccd9908d1e71439ba8e6e660aa3b402e54	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011021001004450048445753	0.00	转账	2016-01-10 09:53:08
	3808.98	20889022822194500156	156		广州地铁单程票 1张	3.00	99128713499451		5dd4be5cdabe49e5b42fbdca6199041c50	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004450047952623	0.00	转账	2016-01-10 09:53:19
	3814.98	20881020596393200156	156		广州地铁单程票 1张	6.00	99328873894321		0db54329246d45179e298267ae3dc25820	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004320034706961	0.00	转账	2016-01-10 09:53:39
	3819.98	20880024786225200156	156		广州地铁单程票 1张	5.00	99018270009521		a95be11287ae49c8b20583f9889083a320	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004520095805327	0.00	转账	2016-01-10 09:53:57
	3823.98	20887028422729430156	156		广州地铁单程票 1张	4.00	98920973730941		8243515b9e164399be3c3f8956ceae8d43	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004940071791303	0.00	转账	2016-01-10 09:59:00
	3813.99	20884020418274190156	156		地铁云购票	0.00	99476158356410	???????	20160109235243463	10.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	交易退款	10.00	2016010921001004410077342304	10.00	转账	2016-01-10 10:00:36
	3823.99	20884020418274190156	156		地铁云购票	0.01	99476158312411	收费退费	20160109235243463	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	退费	10.00	2016010921001004410077342304	10.00	收费	2016-01-10 10:00:36
	278.01		156			0.00	99265447859820	20160109支付宝购票款	201601100015097951	3535.98				0.00			委托提现	0.00		0.00	提现	2016-01-10 10:02:13
	284.01	20880028619309840156	156		广州地铁单程票 1张	6.00	99442632941981		51e4a366b6114288b2ad1c1929ecde9584	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004980073467456	0.00	转账	2016-01-10 10:03:49
	286.01	20887125299370050156	156		广州地铁单程票 1张	2.00	99167591836001		4a5f2700d2f740d689a576ff0ca44b0905	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004000099847855	0.00	转账	2016-01-10 10:06:02
	289.01	20880025123630440156	156		广州地铁单程票 1张	3.00	99066142184041		59980c820a1147b1a392167384183d9744	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004040078155117	0.00	转账	2016-01-10 10:06:18
	279.02	20884020418274190156	156		地铁云购票	0.00	99476213440410	???????	20160110021404827	10.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	交易退款	10.00	2016011021001004410077053605	10.00	转账	2016-01-10 10:06:39
	289.02	20884020418274190156	156		地铁云购票	0.01	99476213408411	收费退费	20160110021404827	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	退费	10.00	2016011021001004410077053605	10.00	收费	2016-01-10 10:06:39
	281.02	20880026821685710156	156		广州地铁单程票 1张	2.00	99069088499571		82da6fd88c1340dcbde021a999ef546f71	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004570080712352	0.00	转账	2016-01-10 10:07:00
	283.02	20888025153494740156	156		广州地铁单程票 1张	2.00	98960756040471		5b6c33f0cea341c98746eee7b5e44acb74	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004470067431281	0.00	转账	2016-01-10 10:10:52
	288.02	20881026276772950156	156		广州地铁单程票 1张	5.00	104726523944291		784d541dff5341218c403a3886edca4095	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004290020352530	0.00	转账	2016-01-10 10:13:52
	294.02	20882024430973950156	156		广州地铁单程票 1张	6.00	99311375650391		d06e4f466a764e739f81f44e41afb6d095	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004390038111788	0.00	转账	2016-01-10 10:14:55
	297.02	20887029995995220156	156		广州地铁单程票 1张	3.00	99018439718521		bc0999502dae448681775d2c7647985f22	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004520096698567	0.00	转账	2016-01-10 10:15:57
	300.02	20881121637078600156	156		广州地铁单程票 1张	3.00	99532618703861		1ec36de7b42947e38d6a6b7cde9054ba60	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004860066777152	0.00	转账	2016-01-10 10:17:55
	303.02	20881125471453830156	156		广州地铁单程票 1张	3.00	99208322586381		0a614facb1bf4d59ba87e7a595bc841b83	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004380049042415	0.00	转账	2016-01-10 10:18:48
	308.02	20887025641434200156	156		广州地铁单程票 1张	5.00	98925992347421		93e65d6513194928a48336218ceaa87e20	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004420071980482	0.00	转账	2016-01-10 10:18:58
	317.02	20881121055517460156	156		广州地铁单程票 1张	9.00	99058353730741		0766108b768b499d9e1ee9b0fccc969946	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	9.00	2016011021001004740097783796	0.00	转账	2016-01-10 10:19:21
	329.02	20880125221028870156	156		广州地铁单程票 2张	12.00	99012167205881		fe605ad151144d4a9bc06abd02f4ff8a87	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011021001004880089081795	0.00	转账	2016-01-10 10:21:00
	341.02	20880020658891720156	156		广州地铁单程票 2张	12.00	99451475154171		31073169204a4407886642737add0a9b72	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011021001004170002692948	0.00	转账	2016-01-10 10:21:26
	348.02	20883024127106370156	156		广州地铁单程票 1张	7.00	98941710116631		93067edda8374ca1a3a1fb777a80f5f337	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011021001004630092073675	0.00	转账	2016-01-10 10:21:49
	356.02	20886020812544910156	156		广州地铁单程票 2张	8.00	99176014039491		7f42f311d8ef459984eff2164f80157c91	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	8.00	2016011021001004490071396479	0.00	转账	2016-01-10 10:26:58
	360.02	20884120469765820156	156		广州地铁单程票 1张	4.00	100455331121581		937e695fe2ad42a1a5c7334c78a58d8382	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004580067521671	0.00	转账	2016-01-10 10:30:41
	362.02	20880120089379120156	156		广州地铁单程票 1张	2.00	99035385368911		65b3b1f6774b4e6d88caf2e79dcb363b12	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004910073104633	0.00	转账	2016-01-10 10:31:05
	366.02	20883023172542070156	156		广州地铁单程票 1张	4.00	98898851089201		0625afd858804e2eac10a333e8f0be9407	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004200085762377	0.00	转账	2016-01-10 10:32:50
	373.02	20884024180601790156	156		广州地铁单程票 1张	7.00	99451576575171		32c2ca78b7b34a8096b2e6b3241d759879	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011021001004170092992865	0.00	转账	2016-01-10 10:32:54
	379.02	20887021661117550156	156		广州地铁单程票 1张	6.00	99209649634751		2b2b1ea19689468ba6c24f279c8ca2d055	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004750097508082	0.00	转账	2016-01-10 10:34:30
	381.02	20889126864097930156	156		广州地铁单程票 1张	2.00	99077481125791		796f21fea0774f8194c379ed56c073ae93	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004790095614454	0.00	转账	2016-01-10 10:34:38
	385.02	20880022030396030156	156		广州地铁单程票 1张	4.00	99302517600601		89eddd83f1834f3bb16a795a94af132f03	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004600006609836	0.00	转账	2016-01-10 10:37:36
	389.02	20883020135414720156	156		广州地铁单程票 1张	4.00	98961008010471		f11085bda86c471b83877db2540fcf2872	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004470067899575	0.00	转账	2016-01-10 10:41:20
	397.02	20885122775955110156	156		广州地铁单程票 1张	8.00	98941612194511		feaa1fd3b9b24078af4fdcf0ded07b0c11	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	8.00	2016011021001004510085376769	0.00	转账	2016-01-10 10:42:49
	402.02	20889022008505560156	156		广州地铁单程票 1张	5.00	98931150724551		aba09499773343c4b7c70155b134cfd856	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004550086287859	0.00	转账	2016-01-10 10:44:17
	404.02	20885027608678630156	156		广州地铁单程票 1张	2.00	99532965697861		5fb6f9ad88c94cdea865955863c7298d63	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004860080966593	0.00	转账	2016-01-10 10:46:58
	407.02	20880022802347750156	156		广州地铁单程票 1张	3.00	98936718809771		69cafb99450a4dea8d64971a7118dcad75	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004770091651303	0.00	转账	2016-01-10 10:49:24
	412.02	20889020502750020156	156		广州地铁单程票 1张	5.00	99167974352001		9cd0eebc52aa4147b8fac1c39c5fef7f02	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004000011288291	0.00	转账	2016-01-10 10:51:19
	424.02	20880022027861080156	156		广州地铁单程票 2张	12.00	99072055636101		55845bda20c3494da0477e12f0beb1ff08	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011021001004100017521204	0.00	转账	2016-01-10 10:51:47
	427.02	20887029219227560156	156		广州地铁单程票 1张	3.00	99209803948751		537f83dac97440a0b7dbb179b6bb38fc56	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004750099356706	0.00	转账	2016-01-10 10:52:12
	432.02	20880023637271630156	156		广州地铁单程票 1张	5.00	98900906486161		f9559669cb004875b532261c0dd6824e63	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004160084435759	0.00	转账	2016-01-10 10:53:41
	435.02	20881021263212240156	156		广州地铁单程票 1张	3.00	99103583267221		867e0ac5d9b8469e9dc3e89c2c8a0b7124	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011021001004220022512905	0.00	转账	2016-01-10 10:54:42
	441.02	20888025797341570156	156		广州地铁单程票 1张	6.00	99014243511151		c7c90d344d814bd09c827a2ea12c348c57	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004150086430797	0.00	转账	2016-01-10 10:57:07
	443.02	20882128751291200156	156		广州地铁单程票 1张	2.00	98926406532121		a89e7ed83b4c48bf99ffa1bdffa7245420	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011021001004120087359606	0.00	转账	2016-01-10 10:57:27
